route #,# of schools
1,5
id,school name,time of arrival,start time,duration
1179,RIVER HEIGHTS PM,5:00,,1:40

mean,median,standard deviation,max,min
0:39,0:29,0:31,1:40,0:03

route #,# of schools
7,3
id,school name,time of arrival,start time,duration
Pick Up Route
1148,MILESTONES EDUC PM,10:42,,1:27
1182,RIVER HEIGHTS PM,11:08,,1:11
1123,MILESTONES EDUC PM,11:16,,0:53
1144,MILESTONES EDUC PM,11:26,,0:43
1149,MILESTONES EDUC PM,11:30,,0:39
1142,MILESTONES EDUC PM,11:35,,0:34
1041,BOUNCING BABIES PM,11:55,,0:03
DROPOFF,BOUNCING BABIES PM,11:59,12:00
DROPOFF,MILESTONES EDUC PM,12:10,12:10
DROPOFF,RIVER HEIGHTS PM,12:20,12:30
Drop off Route
PICKUP,MILESTONES EDUC PM,3:10,3:10
PICKUP,RIVER HEIGHTS PM,3:19,3:20
1123,MILESTONES EDUC PM,3:37,,0:27
PICKUP,BOUNCING BABIES PM,3:53,3:45
1041,BOUNCING BABIES PM,3:57,,0:03
1182,RIVER HEIGHTS PM,4:17,,0:57
1142,MILESTONES EDUC PM,4:28,,1:18
1149,MILESTONES EDUC PM,4:33,,1:23
1144,MILESTONES EDUC PM,4:37,,1:27
1148,MILESTONES EDUC PM,5:02,,1:52

mean,median,standard deviation,max,min
0:55,0:55,0:31,1:52,0:03

route #,# of schools
8,3
id,school name,time of arrival,start time,duration
Pick Up Route
1185,RIVER HEIGHTS PM,11:11,,1:08
1176,RIVER HEIGHTS PM,11:31,,0:48
1184,RIVER HEIGHTS PM,11:38,,0:41
1033,BOUNCING BABIES PM,11:40,,0:13
1180,RIVER HEIGHTS PM,11:47,,0:32
DROPOFF,BOUNCING BABIES PM,11:53,12:00
1151,MILESTONES EDUC PM,12:00,,0:08
DROPOFF,MILESTONES EDUC PM,12:08,12:10
1181,RIVER HEIGHTS PM,12:17,,0:02
DROPOFF,RIVER HEIGHTS PM,12:20,12:30
Drop off Route
PICKUP,MILESTONES EDUC PM,3:10,3:10
1151,MILESTONES EDUC PM,3:18,,0:08
PICKUP,RIVER HEIGHTS PM,3:19,3:20
1181,RIVER HEIGHTS PM,3:21,,0:02
PICKUP,BOUNCING BABIES PM,3:29,3:45
1184,RIVER HEIGHTS PM,3:45,,0:25
1033,BOUNCING BABIES PM,3:47,,0:17
1176,RIVER HEIGHTS PM,3:53,,0:33
1180,RIVER HEIGHTS PM,4:00,,0:40
1185,RIVER HEIGHTS PM,4:17,,0:57

mean,median,standard deviation,max,min
0:28,0:28,0:20,1:08,0:02

