id,school name,time of arrival,arrival time,duration
PICKUP,RIVER HEIGHTS PM,3:20,3:20,
1174,RIVER HEIGHTS PM,3:28,,
PICKUP,BOUNCING BABIES PM,3:33,3:45,
1034,BOUNCING BABIES PM,3:45,,
1027,BOUNCING BABIES PM,3:56,,
1026,BOUNCING BABIES PM,4:07,,
1120,BOUNCING BABIES PM,4:20,,
1179,RIVER HEIGHTS PM,4:37,,
1023,BOUNCING BABIES PM,5:02,,
,,,,
1148,MILESTONES EDUC PM,10:42,,
1182,RIVER HEIGHTS PM,11:08,,
1123,MILESTONES EDUC PM,11:16,,
1149,MILESTONES EDUC PM,11:24,,
1144,MILESTONES EDUC PM,11:28,,
1142,MILESTONES EDUC PM,11:35,,
1041,BOUNCING BABIES PM,11:55,,
DROPOFF,BOUNCING BABIES PM,11:59,12:00,
DROPOFF,MILESTONES EDUC PM,12:10,12:10,
DROPOFF,RIVER HEIGHTS PM,12:20,12:30,
PICKUP,MILESTONES EDUC PM,3:10,3:10,
PICKUP,RIVER HEIGHTS PM,3:19,3:20,
1123,MILESTONES EDUC PM,3:37,,
PICKUP,BOUNCING BABIES PM,3:53,3:45,
1041,BOUNCING BABIES PM,3:57,,
1142,MILESTONES EDUC PM,4:17,,
1149,MILESTONES EDUC PM,4:22,,
1144,MILESTONES EDUC PM,4:26,,
1182,RIVER HEIGHTS PM,4:41,,
1148,MILESTONES EDUC PM,5:05,,
,,,,
1185,RIVER HEIGHTS PM,11:13,,
1184,RIVER HEIGHTS PM,11:32,,
1033,BOUNCING BABIES PM,11:34,,
1176,RIVER HEIGHTS PM,11:40,,
1180,RIVER HEIGHTS PM,11:47,,
DROPOFF,BOUNCING BABIES PM,11:53,12:00,
1151,MILESTONES EDUC PM,12:00,,
DROPOFF,MILESTONES EDUC PM,12:08,12:10,
1181,RIVER HEIGHTS PM,12:17,,
DROPOFF,RIVER HEIGHTS PM,12:20,12:30,
PICKUP,MILESTONES EDUC PM,3:10,3:10,
1151,MILESTONES EDUC PM,3:18,,
PICKUP,RIVER HEIGHTS PM,3:19,3:20,
1181,RIVER HEIGHTS PM,3:21,,
PICKUP,BOUNCING BABIES PM,3:29,3:45,
1184,RIVER HEIGHTS PM,3:45,,
1033,BOUNCING BABIES PM,3:47,,
1176,RIVER HEIGHTS PM,3:53,,
1180,RIVER HEIGHTS PM,4:00,,
1185,RIVER HEIGHTS PM,4:17,,
